period,date,site,contour,transect,diver,tag,stipeL,bladeL,Bwidth,pneuD,Sbulb_max,Sbulb_10,Sbulb_15,Bcount,bladeW,stipeW,Psori,comments,sampleID,uniqueID,"*** stipeL /bladeL = cm, bladeWidth/pneuD/Sbulb_max/Sbulb_10/Sbulb_15 = mm, bladeW/stipeW = kg"
2016-Aug,2016-08-10,Second,na,na,KB,na,658,55,na,95,na,na,na,65,0.71,1.12,na,"calculated bulb diamter based on circumference, 30",na,na,
2016-Aug,2016-08-10,Second,na,na,KB,na,342,21,na,95,na,na,na,49,0.05,0.58,na,"calculated bulb diamter based on circumference, 30",21,MI0275,
2016-Aug,2016-08-10,Second,na,na,KB,na,560,30,na,95,na,na,na,42,0.16,0.63,na,"calculated bulb diamter based on circumference, 30",19,MI0276,
2016-Aug,2016-08-10,Second,na,na,KB,na,388,31,na,76,na,na,na,34,0.04,0.34,na,"calculated bulb diamter based on circumference, 24",27,MI0277,
2016-Aug,2016-08-10,Second,na,na,KB,na,435,23,na,92,na,na,na,39,0.07,0.69,na,"calculated bulb diamter based on circumference, 29",26,MI0278,
2016-Aug,2016-08-10,Second,na,na,KB,na,751,97,na,99,na,na,na,72,1.08,1.56,na,"calculated bulb diamter based on circumference, 31",28,MI0279,
2016-Aug,2016-08-10,Second,na,na,KB,na,359,90,na,76,na,na,na,39,0.06,0.31,na,"calculated bulb diamter based on circumference, 24",33,MI0280,
2016-Aug,2016-08-10,Second,na,na,KB,na,424,37,na,86,na,na,na,40,0.09,0.26,na,"calculated bulb diamter based on circumference, 27",31,MI0281,
2016-Aug,2016-08-10,Second,na,na,KB,na,369,35,na,70,na,na,na,47,0.06,0.14,na,"calculated bulb diamter based on circumference, 22",25,MI0282,
2016-Aug,2016-08-10,Second,na,na,KB,na,438,40,na,92,na,na,na,51,0.18,0.55,na,"calculated bulb diamter based on circumference, 29",32,MI0283,
2016-Aug,2016-08-10,Second,na,na,KB,na,448,22,na,92,na,na,na,37,0.11,0.64,na,"calculated bulb diamter based on circumference, 29",30,MI0284,
2016-Aug,2016-08-10,Second,na,na,KB,na,465,34,na,83,na,na,na,38,0.12,0.35,na,"calculated bulb diamter based on circumference, 26",24,MI0285,
2016-Aug,2016-08-10,Second,na,na,KB,na,480,29,na,92,na,na,na,49,0.09,0.62,na,"calculated bulb diamter based on circumference, 29",17,MI0286,
2016-Aug,2016-08-10,Second,na,na,KB,na,348,13,na,70,na,na,na,22,0.03,0.12,na,"calculated bulb diamter based on circumference, 22",29,MI0287,
2016-Aug,2016-08-10,Second,na,na,KB,na,446,7,na,83,na,na,na,24,0.03,0.2,na,"calculated bulb diamter based on circumference, 26",na,na,
2016-Aug,2016-08-10,Second,na,na,KB,na,345,42,na,83,na,na,na,46,0.18,0.18,na,"calculated bulb diamter based on circumference, 26",na,na,
2016-Aug,2016-08-10,Second,na,na,KB,na,366,10,na,80,na,na,na,27,0.08,0.122,na,"calculated bulb diamter based on circumference, 25",na,na,
2016-Aug,2016-08-10,Second,na,na,KB,na,200,58,na,76,na,na,na,37,0.17,0.314,na,"calculated bulb diamter based on circumference, 24",2,MI0292,
2016-Aug,2016-08-10,Second,na,na,KB,na,366,na,na,73,na,na,na,na,na,0.101,na,"calculated bulb diamter based on circumference, 23",na,na,
2016-Aug,2016-08-13,Manley,na,na,OP/KB/GS,na,175,13,na,89,na,na,na,6,0.01,0.28,na,"calculated bulb diamter based on circumference, 28",na,na,
2016-Aug,2016-08-13,Manley,na,na,OP/KB/GS,na,231,21,na,83,na,na,na,65,0.04,0.27,na,"calculated bulb diamter based on circumference, 26",na,na,
2016-Aug,2016-08-13,Manley,na,na,OP/KB/GS,na,208,35,na,99,na,na,na,45,0.14,0.29,na,"calculated bulb diamter based on circumference, 31",26,MI0301,
2016-Aug,2016-08-13,Manley,na,na,OP/KB/GS,na,259,34,na,92,na,na,na,63,0.15,0.3,na,"calculated bulb diamter based on circumference, 29",na,na,
2016-Aug,2016-08-13,Manley,na,na,OP/KB/GS,na,285,44,na,111,na,na,na,84,0.42,1.3,na,"calculated bulb diamter based on circumference, 35",18,MI0294,
2016-Aug,2016-08-13,Manley,na,na,OP/KB/GS,na,252,35,na,105,na,na,na,83,0.25,0.58,na,"calculated bulb diamter based on circumference, 33",na,na,
