period,site,date,sampleID,uniqueID,species,stipe_blade,length,tray,tray_wet,time_oven,tray_dry,comments,tag
2016-Jun,Westbeach,2016-06-10,31,MI0039,macro,blade,5,8001.5,9301.6,26,8220.9,,na
2016-Jun,Westbeach,2016-06-10,32,MI0040,macro,blade,5,8517.5,9735.1,26,8674.4,,na
2016-Jun,Westbeach,2016-06-10,33,MI0041,macro,blade,5,8245.8,10128.9,26,8514.7,,na
2016-Jun,Westbeach,2016-06-10,34,MI0042,macro,blade,5,8452.3,10132.1,26,8636.8,,na
2016-Jun,Westbeach,2016-06-10,35,MI0043,macro,blade,5,8240.7,10197.2,26,8490.8,,na
2016-Jun,Westbeach,2016-06-10,36,MI0044,macro,blade,5,6530.6,8295.4,26,6747.9,,na
2016-Jun,Westbeach,2016-06-10,37,MI0045,macro,blade,5,8007.6,10275,26,8434.5,,na
2016-Jun,Westbeach,2016-06-10,38,MI0046,macro,blade,5,8235.6,9872.7,26,8461.4,,na
2016-Jun,Westbeach,2016-06-10,39,MI0047,macro,blade,5,6585.7,8465.6,26,6838.2,,na
2016-Jun,Westbeach,2016-06-10,40,MI0048,macro,blade,5,5895.3,7636.9,26,6075.5,,na
2016-Jun,Meay,2016-06-10,41,MI0049,macro,blade,5,8191.9,9276.7,26,8327.8,,na
2016-Jun,Meay,2016-06-10,42,MI0050,macro,blade,5,8472.3,9946.6,26,8613.3,,na
2016-Jun,Meay,2016-06-10,43,MI0051,macro,blade,5,8459.3,10134.5,26,8718.3,,na
2016-Jun,Meay,2016-06-10,44,MI0052,macro,blade,5,8236.2,9481.7,26,8396.6,,na
2016-Jun,Meay,2016-06-10,45,MI0053,macro,blade,5,8065.4,9540,26,8275.8,,na
2016-Jun,Meay,2016-06-10,46,MI0054,macro,blade,5,5870.4,7023.3,26,5996.6,,na
2016-Jun,Meay,2016-06-10,47,MI0055,macro,blade,5,6568.9,7908.7,26,6741.8,,na
2016-Jun,Meay,2016-06-10,48,MI0056,macro,blade,5,8195.5,9665.1,26,8428.1,,na
2016-Jun,Meay,2016-06-10,49,MI0057,macro,blade,5,6588.6,7880.9,26,6791.5,,na
2016-Jun,Meay,2016-06-10,50,MI0058,macro,blade,5,5835.6,7066.2,26,5988.2,,na
2016-Jun,Triquet,2016-06-11,51,MI0059,macro,blade,5,8191,9219,24,8325.4,,na
2016-Jun,Triquet,2016-06-11,52,MI0060,macro,blade,5,8691,9962.9,24,8909,,na
2016-Jun,Triquet,2016-06-11,53,MI0061,macro,blade,5,6819.8,7794,24,6953.2,,na
2016-Jun,Triquet,2016-06-11,54,MI0062,macro,blade,5,8309.3,9793.9,24,8492.8,,na
2016-Jun,Triquet,2016-06-11,55,MI0063,macro,blade,5,8244.6,9578.7,24,8360.5,,na
2016-Jun,Triquet,2016-06-11,56,MI0064,macro,blade,5,8529.2,9693.4,24,8685.1,,na
2016-Jun,Triquet,2016-06-11,57,MI0065,macro,blade,5,8693.7,9947.9,24,8860.1,,na
2016-Jun,Triquet,2016-06-11,58,MI0066,macro,blade,5,6530.2,7902.7,24,6744,,na
2016-Jun,Triquet,2016-06-11,59,MI0067,macro,blade,5,6533.5,7723.5,24,6695.5,,na
2016-Jun,Triquet,2016-06-11,60,MI0068,macro,blade,5,8689.1,9756.1,24,8838.2,,na
2016-Aug,Westbeach,2016-08-11,61,na,macro,stipe,5,1021.4,3669.1,24,1324.5,,na
2016-Aug,Westbeach,2016-08-11,62,na,macro,stipe,5,706.9,3105,24,1003.7,,na
2016-Aug,Westbeach,2016-08-11,63,na,macro,stipe,5,776.5,3485.1,24,1099.1,,na
2016-Aug,Westbeach,2016-08-11,64,na,macro,stipe,5,776.7,3705.5,24,1153.8,,na
2016-Aug,Westbeach,2016-08-11,65,na,macro,stipe,5,851.4,2440.3,24,1034.3,,na
2016-Aug,Westbeach,2016-08-11,66,na,macro,stipe,5,912.1,2690.6,24,1134.7,,na
2016-Aug,Westbeach,2016-08-11,61,MI0312,macro,blade,5,762.4,2458.9,24,1011.5,,na
2016-Aug,Westbeach,2016-08-11,62,MI0313,macro,blade,5,703.6,2305.1,24,964.9,,na
2016-Aug,Westbeach,2016-08-11,63,MI0314,macro,blade,5,821.1,2986.7,24,1070.2,,na
2016-Aug,Westbeach,2016-08-11,64,MI0315,macro,blade,5,783.4,3099,24,1087.3,,na
2016-Aug,Westbeach,2016-08-11,66,MI0317,macro,blade,5,874.5,3295.2,24,1079.4,,na
2016-Aug,Westbeach,2016-08-11,77,MI0318,macro,blade,5,549.2,952.8,24,770.7,,na
2016-Aug,Westbeach,2016-08-11,78,MI0319,macro,blade,5,775.8,1074.2,24,1029.4,,na
2016-Aug,Triquet,2016-08-12,67,MI0322,macro,blade,5,742.1,1293,23,961,,na
2016-Aug,Triquet,2016-08-12,68,MI0323,macro,blade,5,749.6,926.3,23,896.3,,na
2016-Aug,Triquet,2016-08-12,69,MI0324,macro,blade,5,760.2,1793,23,na,"tray_dry is 1373.1, perhaps not entirely dry ???",na
2016-Aug,Triquet,2016-08-12,70,MI0325,macro,blade,5,417.2,1099.4,23,592.2,,na
2016-Aug,Triquet,2016-08-12,71,MI0326,macro,blade,5,743.7,964.6,23,928.6,,na
2016-Aug,Triquet,2016-08-12,72,MI0327,macro,blade,5,397.4,683.9,23,581.8,,na
2016-Aug,Triquet,2016-08-12,73,MI0328,macro,blade,5,309.6,898.4,23,474.7,,na
2016-Aug,Triquet,2016-08-12,74,MI0329,macro,blade,5,372.4,706.1,23,591.7,,na
2016-Aug,Triquet,2016-08-12,75,MI0330,macro,blade,5,430,683,23,595.9,,na
2016-Aug,Triquet,2016-08-12,76,MI0331,macro,blade,5,432.3,862.6,23,641.1,,na
2016-Aug,Meay,2016-08-15,81,MI0332,macro,blade,5,881.1,2303.6,18,1137.3,,na
2016-Aug,Meay,2016-08-15,82,MI0333,macro,blade,5,891.7,2172.5,18,1031.2,,na
2016-Aug,Meay,2016-08-15,83,MI0334,macro,blade,5,730.5,2359,18,949.8,,na
2016-Aug,Meay,2016-08-15,84,MI0335,macro,blade,5,788.3,2539.7,18,1051.4,,na
2016-Aug,Meay,2016-08-15,85,MI0336,macro,blade,5,901.7,2238.8,18,1065.9,,na
2016-Aug,Meay,2016-08-15,86,MI0337,macro,blade,5,931,2214.9,18,1104.1,,na
2016-Aug,Meay,2016-08-15,87,MI0338,macro,blade,5,553.5,1983.6,18,757.2,,na
2016-Aug,Meay,2016-08-15,88,MI0339,macro,blade,5,1031.9,2845.2,18,1270.6,,na
2016-Aug,Meay,2016-08-15,81,na,macro,stipe,5,908.9,3775,18,1266,,na
2016-Aug,Meay,2016-08-15,82,na,macro,stipe,5,854.7,3645.1,18,1137.4,,na
2016-Aug,Meay,2016-08-15,83,na,macro,stipe,5,812.9,3407.1,18,1117.6,,na
2016-Aug,Meay,2016-08-15,85,na,macro,stipe,5,681.5,3473.2,18,1005.3,,na
2016-Aug,Meay,2016-08-15,86,na,macro,stipe,5,748.7,4542.5,18,1266.2,,na
2016-Aug,Meay,2016-08-15,87,na,macro,stipe,5,661.1,2973,18,948.1,,na
2016-Aug,Meay,2016-08-15,88,na,macro,stipe,5,736.9,4090.5,18,1168.4,,na
