Table,Variable Name,Class and Units,Description
nereo_metrics,interval,"categorical, numeric range","continuous numerical series where each integer corresponds to a new sampling period. Each interval has 3 time stamps associated with it (T1,T2 and T3). "
nereo_metrics,period,yyyy-mmm,date expressed in year-month 
nereo_metrics,date1,yyyy-mm-dd,first sampling event in a 3-part sampling interval.
nereo_metrics,site,categorical,"name of bed surveyed (core beds are north, manley, second, triquetta)."
nereo_metrics,diver,categorical,initials of person(s) who collected data.
nereo_metrics,transect,"categorical, numeric range",refers to 1 of 3 specific permanent transect lines associated to one site.
nereo_metrics,side,categorical,refers to right or left side of the transect line when facing towards the 20m end.
nereo_metrics,dist,numerical,refers to the distance (in m) on the transect line that’s closest to a particular plant.
nereo_metrics,tag1,"categorical, numeric range",unique number associated with a plant recorded at time1. A decimal indicates the reuse of an old tag and should be treated as unique.
nereo_metrics,time1,hh:mm (24hour),time at which collection event 1 started.
nereo_metrics,time1_decimal,numerical,"time1 expressed in decimals, used to calculate rates. "
nereo_metrics,stipeL1,"numerical, cm",length from the holdfast to halfway through the pneumatocyst (to nearest cm) at T1.
nereo_metrics,bladeL1,"numerical, cm",average length from pneumatocyst to where the majority of the blades end (in cm at T1)
nereo_metrics,Bwidth,"numerical, cm",blade width measured halfway through the length of a randomly selected blade (to nearest 0.5cm).
nereo_metrics,Psori1,categorical,"proportion of reproductive sori recorded as 0% (0), 0-50% (L ), or 50-100%(H), at T1"
nereo_metrics,distP1,"numerical, cm","distance from the pneumatocyst to the hole punch on the selected outer blade (to nearest 0.5cm), at T1. "
nereo_metrics,obladeL1,"numerical, cm",length of selected outer blade from the pneumatocyst to the end of blade (to nearest 0.5cm) at T1.
nereo_metrics,Bcount1,integer,number of blades attached to pneumatocyst and longer than 10cm at T1
nereo_metrics,Sbulb_max1,"numerical, mm",diameter of the stipe at the widest point below the bulb/pneumatocyst (to nearest 1mm) at T1
nereo_metrics,comments,character,"notes made by diver, often a reason as to why measurements are missing."
nereo_metrics,date2,yyyy-mm-dd,second sampling event in a 3-part sampling interval.
nereo_metrics,tag2,"categorical, numeric range","unique number associated with a plant recorded again at time2, redundant column with tag1, used for QC. A decimal indicates the re-use of an old tag and should be treated as unique."
nereo_metrics,time2,hh:mm (24hour),time at which collection event 2 started.
nereo_metrics,time2_decimal,numerical,"time 2 expressed in decimals, used to calculate rates. "
nereo_metrics,Bcount2,integer,number of blades attached to pneumatocyst and longer than 10cm at T2.
nereo_metrics,Sbulb_max2,"numerical, mm",diameter of the stipe at the widest point below the bulb/pneumatocyst (to nearest 1mm) at T2
nereo_metrics,distP2,"numerical, cm","distance from the pneumatocyst to the hole punch on the selected outer blade (to nearest 0.5cm), at T2. "
nereo_metrics,obladeL2,"numerical, cm",length of selected outer blade from the pneumatocyst to the end of blade (to nearest 0.5cm) at T2.
nereo_metrics,presence2,categorical,"refers to plants tagged for loss estimates, present (y), absent (n) at T2.  "
nereo_metrics,comments,character,"notes made by diver, often a reason as to why measurements are missing."
nereo_metrics,date3,yyyy-mm-dd,third (last) sampling event in a 3-part sampling interval.
nereo_metrics,presence3,categorical,"refers to plants tagged for loss estimates, present (y), absent (n) at T3."
nereo_metrics,tag3,"categorical, numeric range","unique number associated with a plant recorded again at T3, redundant column with tag1 and tag2, used for QC. A decimal indicatres the reuse of an old tag and should be treated as unique."
nereo_metrics,time3,hh:mm (24hour),time at which collection event 3 started.
nereo_metrics,time3_decimal,numerical,"time3 expressed in decimals, used to calculate rates "
nereo_metrics,stipeL3,"numerical, cm",length measured from the holdfast to halfway through the pneumatocyst (to nearest  cm) at T3.
nereo_metrics,Bcount3,integer,number of blades attached to pneumatocyst and longer than 10cm at T3.
